,Abstract
10,"Snow conditions in the High North are an important control on wintertime forage availability for reindeer, and under climate change, they are changing rapidly. In the European Arctic, this has the potential to disrupt traditional reindeer herding practices, reindeer health, and local culture (including that of Indigenous communities like the S & aacute;mi). At the same time, Norwegian coastal cities are competing to act as multi-model transportation hubs as sea-ice retreat creates expectations for increased marine accessibility. An Arctic Railway connecting Rovaniemi to Kirkenes has been proposed to support these port developments, but this route passes through rangelands managed by S & aacute;mi and local herding communities. This study develops an assessment of past and future snow characteristics relevant to reindeer health to provide a context for understanding the impacts of this infrastructure development. Climate model and detailed snowpack simulations were performed for 1950 to 2100 along the proposed route. Results show that deep snow becomes less frequent and spring thaw advances, favorable to reindeer. However, icy snow conditions become more frequent, potentially forcing herds from tundra and farmland to forested areas. This suggests policy alternatives that focus on the development and maintenance of migration corridors to allow appropriate movement of reindeer herds. Melting Arctic sea ice is improving access to Arctic Ocean shipping routes, creating an incentive for Arctic coastal communities to develop their port facilities. To be successful, these ports must be connected to major European population centers and a railway connecting Rovaniemi, Finland, to Kirkenes, Norway, has been proposed as an efficient option for making this connection. However, such a railway would run through reindeer rangelands managed by S & aacute;mi and local herding communities, potentially disrupting herding practices, reindeer health, and traditional cultures. Because snow conditions are a major control on wintertime food security for reindeer, this study provides future projections of relevant snow characteristics along the proposed route to help understand how the construction of the railway may affect local communities. Results show that snow structures in tundra and cleared pastures become less hospitable, potentially forcing herds to forested areas. As such, the development and maintenance of old-growth forest landscapes for foraging zones and migration corridors is critical. The methodology developed here is applicable to other questions such as water resource management."
11,"Understanding the responses of the arctic tundra biome to a changing climate requires knowledge of the complex interactions among the climate, soils and biological system. This study investigates the individual and interaction effects of climate change and reindeer grazing across a variety of climate zones and soil texture types on tundra vegetation community dynamics using an arctic vegetation model that incorporates the reindeer diet, where grazing is a function of both foliar nitrogen concentration and reindeer forage preference. We found that grazing is important, in addition to the latitudinal climate gradient, in controlling tundra plant community composition, explaining about 13% of the total variance in model simulations for all arctic tundra subzones. The decrease in biomass of lichen, deciduous shrub and graminoid plant functional types caused by grazing is potentially dampened by climate warming. Moss biomass had a nonlinear response to increased grazing intensity, and such responses were stronger when warming was present. Our results suggest that evergreen shrubs may benefit from increased grazing intensity due to their low palatability, yet a growth rate sensitivity analysis suggests that changes in nutrient uptake rates may result in different shrub responses to grazing pressure. Heavy grazing caused plant communities to shift from shrub tundra toward moss, graminoid-dominated tundra in subzones C and D when evergreen shrub growth rates were decreased in the model. The response of moss, lichen and forbs to warming varied across the different subzones. Initial vegetation responses to climate change during transient warming are different from the long term equilibrium responses due to shifts in the controlling mechanisms (nutrient limitation versus competition) within tundra plant communities."
12,"Despite numerous studies of how climate change may affect life history of mammals, few have documented the direct impact of climate on behavior. The Arctic is currently warming, and rain-on-snow and thaw-freeze events leading to ice formation on the ground may increase both in frequency and spatial extent. This is in turn expected to be critical for the winter survival of arctic herbivores. Svalbard reindeer (Rangifer formulas plathyrynchus) have small home ranges and may therefore be vulnerable to local locked pasture events (ice layers limit access to plant forage) due to ground-ice formation. When pastures are locked,Svalbard reindeer are faced with the decision of staving and live off a diminishing fat store, or trying to escape beyond the unknown spatial borders of the ice. We demonstrate that Svalbard reindeer do the latter, as icing events cause an immediate increase in range displacement between 5-day observations. Population-level responses of previous icing events may therefore not accurately predict future responses if the spatial extent of icing increases. The impact of single events may be more severe if it exceeds the maximum movement distances, so that the spatial displacement strategy reported here no longer buffers climate effects."
13,"This paper examines potential effects of predicted climate changes on the forage conditions during both summer and winter for semidomesticated reindeer in Sweden. Positive effects in summer ranges include higher plant productivity and a longer growing season, while negative effects include increased insect harassment. Forage quality may change in both positive and negative ways. An increase in shrubs and trees in alpine heaths is also likely. A warmer climate means shorter winters, which will have positive effects for the survival of reindeer. However, warmer and wetter weather may also result in increased probabilities of ice-crust formations, which strongly decrease forage availability. A warmer climate with higher forest productivity will also likely reduce lichen availability through competitive interactions. Adaptations to these changes will include maintaining a choice of grazing sites in both summer and winter. However, this capacity may already be severely limited because of other forms of land use."
14,"We investigated the effects of experimental manipulations of snowmelt on the flowering phenology and forage chemistry (digestibility and nitrogen concentration) of tussock cottongrass (Eriophorum vaginatum) on the Seward Peninsula, Alaska. Early snowmelt accelerated reproductive phenology by 11 days, and resulted in higher floral digestibility both early and late during inflorescence development. Nitrogen concentrations of inflorescences in late snowmelt plots were initially the highest among treatments, but decreased nearly 40% during inflorescence development. Thus, changes in climate that lead to changes in snow cover can alter both the timing of flowering and chemistry of Eriophorum and, consequently, its value as reindeer and caribou forage. We then used published relationships between forage chemistry and body weight gain of reindeer (White, 1983) to model the possible effects of altered forage chemistry on food intake and growth in reindeer. Model output shows that reindeer foraging on Eriophorum inflorescences may increase digestible dry matter intake twofold by selectively foraging on early-emergent inflorescences. The multiplicative effects of forage quality and food intake result in a near doubling in the rate of weight gain during this critical early spring period. Such increases in body weight gain have potentially great consequences for reindeer at both individual and population levels."
15,"The Fennoscandian boreal and mountain regions harbour a wide range of vegetation types, from boreal forest to high alpine tundra and barren soils. The area is facing a rise in air temperature above the global average and changes in temperature and precipitation patterns. This is expected to alter the Fennoscandian vegetation composition and change the conditions for areal land use such as forestry, tourism and reindeer husbandry. In this study we used a unique high-resolution (3 km) climate scenario with considerable warming resulting from strongly increasing carbon dioxide emissions to investigate how climate change can alter the vegetation composition, biodiversity and availability of suitable reindeer forage. Using a dynamical vegetation model, including a new implementation of potential reindeer grazing, resulted in simulated vegetation maps of unprecedented high resolution for such a long time period and spatial extent. The results were evaluated at the local scale using vegetation inventories and for the whole area against satellite-based vegetation maps. A deeper analysis of vegetation shifts related to statistics of threatened species was performed in six hotspot areas containing records of rare and threatened species. In this high-emission scenario, the simulations show dramatic shifts in the vegetation composition, accelerating at the end of the century. Alarmingly, the results suggest the southern mountain alpine region in Sweden will be completely covered by forests at the end of the 21st century, making preservation of many rare and threatened species impossible. In the northern alpine regions, most vegetation types will persist but shift to higher elevations with reduced areal extent, endangering vulnerable species. Simulated potential for reindeer grazing indicates latitudinal differences, with higher potential in the south in the current climate. In the future these differences will diminish, as the potentials will increase in the north, especially for the summer grazing grounds. These combined results suggest significant shifts in vegetation composition over the present century for this scenario, with large implications for nature conservation, reindeer husbandry and forestry."
16,"Today, climate change and competing land use practices are threatening rangelands around the world and the pastoral societies that rely on them. Reindeer husbandry practised by the indigenous Sami people is an example. In Sweden, approximately 70% of the most productive lichen pastures (important in winter) has been lost, either completely or because of a reduction in forage quality, as a result of competing land use (primarily commercial forestry). The remaining pastures are small and fragmented. Yet, the number of reindeer in Sweden shows no general decline. We investigated the strategies that have allowed reindeer herders to sustain their traditional livelihood despite a substantial loss of pastures and thus natural winter forage for their reindeer. Changes in harvest strategy and herd structure may partially explain the observed dynamics, and have increased herd productivity and income, but were not primarily adopted to counteract forage loss. The introduction of supplementary feeding, modern machinery, and equipment has assisted the herders to a certain extent. However, supplementary feeding and technology are expensive. In spite of governmental support and optimized herd productivity and income, increasing costs provide low economic return. We suggest that the increased economical and psychosocial costs caused by forage and pasture losses may have strong effects on the long-term sustainability of reindeer husbandry in Sweden."
17,"This paper argues that Sami reindeer pastoralism in Sweden is highly stressed during the critical snow cover periods due to large-scale human interventions, especially forestry, and that these have over time significantly worsened the ecological conditions for natural grazing-based responses to changing snow conditions caused by climate change. Informed by a literature review, the paper conceptualises two, overlapping ecological dynamics that shape the availability of lichen as key forage resources within a Sami pastoral landscape perspective: the grazing dynamics of reindeer during snow cover periods as determined by climatic stochasticity, and the more predictable vegetation dynamics of lichen habitat formation, growth and sustenance based on structured forestry practices. This could help articulate an intervention ecology that pursues sustainable ecological conditions for natural grazing-based Sami reindeer pastoralism, along with other goals. As such alternatives are likely to face political resistance, the article discusses the implications of its findings within a science-politics interface."
18,"Traditional knowledge about snow and ice conditions on and in the ground is essential in the life of the Yamal Nenets. This holistic knowledge helps the Nenets to travel in the tundra, find good pastures for their domesticated reindeer herds, select proper places for making their camps, find firewood, and locate clean snow or ice for drinking water. It is particularly important for reindeer herders, because looking at different characteristics of snow (layers, hardness, and granularity) enables them to find good pastures for their animals. If there are dangers posed by a crust of ice on the snow, herders have to move their herds to other pastures. Moreover, even reindeer know which kind of snow is easier for them to break with their hooves and where good forage is found. Significantly, the Nenets language has developed a sophisticated terminology describing different types of snow and ice, and similarly permafrost has a special name. Like many other Indigenous peoples of Siberia, the Nenets have noticed that climate change in the Arctic is dramatically affecting their life: it is changing the tundra landscape, the seasons, and the conditions under which they live and herd reindeer. In consequence, the reindeer-herding culture itself helps the people to preserve this knowledge of how to live in the tundra, but to remain relevant, the Nenets' knowledge of tundra ecology and their words for snow, ice, and permafrost must continuously adapt to new realities of the tundra. However, if that culture disappears in the Yamal, this resource will also be difficult to save."
19,"Because of climate change, wildlife is facing altered environments, including profound shifts in temperature and precipitation regimes. In snow-dominated ecosystems, winter warming and resulting changes in snowpack properties impact forage accessibility for ungulates-often for the worse. The potential of individuals and populations to buffer negative fitness effects of harsh winters with basal ice (i.e., ice on the ground) and/or a harder or deeper snowpack depends on their ability to adjust behaviorally through changes in diet, dispersal, or small-scale habitat use. Here, we use ten years of late winter snowpack monitoring and population census data from three neighboring, semi-isolated coastal populations of high-arctic wild Svalbard reindeer to explore small-scale space use responses to annual variation in late winter-foraging conditions. Based on location data from the population censuses, we roughly classified individuals' spatial foraging strategy (i.e., habitat use) during late winter into tundra (foraging on tundra plains), mountain (foraging at high elevations, with low plant biomass but less snow and ice), or shore (foraging along the seashore, subsidizing terrestrial food with kelp and seaweed). Using multinomial logistic regression, we modeled the probability of reindeer adopting either of these strategies as a function of density-dependent winter severity. Our results suggest that effects of winter severity on habitat use are density-dependent and that snowpack depth and hardness (excluding basal ice, measured as integrated ram hardness, IRH) have stronger influence on reindeer foraging behavior than basal ice, at least at such spatial scales. Particularly, high IRH increased the probability of reindeer seeking high-elevation and steep terrain instead of tundra lowlands, but not at low population density, that is, when competition for food is negligible. This strategy was most pronounced among adult males, possibly reflecting their risk-prone behavior and/or reduced competitiveness related to lack of antlers during winter. This study demonstrates important patterns of temporal, spatial, and demographic variation in reindeer's winter-foraging strategies, adding novel, nuanced insights into how climate change affects spatial processes in isolated ungulate populations. The results add to the impression of considerable behavioral flexibility, which may aid buffering the negative fitness effects of complex changes in foraging conditions due to environmental changes."
20,"Arctic and alpine terricolous lichens are adapted to harsh environments and are tolerant to extremely low temperatures when metabolically inactive. However, there are reports indicating that freezing can be lethal to metabolically active lichens. With a projected warmer and more unstable climate, winter precipitation at high latitudes will fall more frequently as rain, causing snowmelt and encapsulating terricolous lichens in ice or exposing them to large temperature fluctuations. Lichens are a major winter food source for reindeer in most parts of the circumpolar region. A laboratory experiment tested how three hydrated reindeer forage lichen species covered by snow, encapsulated in ice, or uncovered responded to storage at freezing temperatures and subsequent warming. Photosynthetic performance (maximal fluorescence of dark-adapted samples and net photosynthetic rates) was significantly lower in lichens not insulated by snow or ice, whereas there were few differences between the snow and ice treatments. It is suggested that snow and ice provide sufficiently moist environments to improve extracellular and reduce intracellular ice nucleation activity. Ice encapsulation, which is often lethal to vascular plants, did not have any negative effects on the studied lichens. The results indicate that complete snow and ice melt followed by refreezing can be detrimental to terricolous lichen ecosystems. Reduced lichen biomass will have a negative effect both on reindeer winter survival and the indigenous peoples who herd reindeer."
21,"The rapid warming of the Arctic may not only alter species' abundances and distributions, but likely also the trophic interactions within and between ecosystems. On the high-arctic tundra, extreme warm spells and associated rain-on-snow events in winter can encapsulate the vegetation entirely in ground-ice (i.e., basal ice) and directly or indirectly affect plants, herbivores, and carnivores. However, the implications of such extreme events for trophic interactions and food-web ecology are generally far from understood. Here, we show that wild Svalbard reindeer populations increasingly isolated by lack of sea-ice respond to rain-on-snow and ice-locked pastures by increased kelp consumption. Based on annual population surveys in late winters 2006-2015, the proportion of individual reindeer feeding along the shoreline increased the icier the winter. Stable isotope values (delta S-34, delta C-13, delta N-15) of plants, washed-ashore kelp, and fresh reindeer feces collected along coast-inland gradients, confirmed ingestion of marine biomass by the reindeer in the shoreline habitat. Thus, even on remote islands and peninsulas increasingly isolated by sea-ice loss, effects of climate change may be buffered in part by behavioral plasticity and increased use of resource subsidies. This marine dimension of a terrestrial herbivore's realized foraging niche adds to evidence that global warming significantly alters trophic interactions as well as meta-ecosystem processes."
22,"Growing season nutrient dynamics of four reindeer forage species (Betula nana, Eriophorum angustifolium, Rumex acetosa and Vaccinium myrtillus) were studied in a mountainous sub-arctic landscape in N Sweden. Changes in nitrogen (N), phosphorus (P) and fibre (ADF) concentrations in [eaves and shoots were analysed (from a reindeer foraging perspective) along four ecological gradients significant to regional and local snowmelt regimes: season, oceanicity, attitude, and snow-patch retreat. N and P concentrations showed marked seasonal variations with peaks occurring from the middle of June to the end of July depending on species and snowmelt progression. The seasonal pattern for ADF concentrations, as well as differences between snowmelt regimes, were less consistent and showed large differences between species. N concentrations increased along snowmelt gradients at small (within snow-patches) and medium (along attitude gradients) spatial scales. Furthermore, variations in N concentrations were temporally and spatially scale-dependent, which underlines the importance of scale for understanding plant nutrient dynamics in sub-arctic and alpine systems, as well for plant-animal interactions. The greatest temporal and spatial differences in nutrient quality were observed early in the season, i.e., at the time of highest nutrient requirements for reindeer. Climate-induced changes of the start and the progress of the growing season may result in significant consequences to the development of calves and subsequently to the population demography of reindeer, mediated through spatial and temporal changes in the distribution of high quality food. These results provide basic knowledge for reindeer management in the tight of the ongoing global warming. (C) 2005 Gesellschaft fur Okologie. Published by Elsevier GmbH. All rights reserved."
23,"Drivers of change in the reindeer management system are rather well-known. But when developing the gover-nance to support the traditional livelihoods, it is crucial to understand also practitioner perceptions. Systematic research on these is lacking. We analyzed the land-use and climate related drivers within the reindeer man-agement area (RMA) in Finland, and, using a perception geography approach, studied the herder perceptions towards these. We conducted an on-site questionnaire survey with herders from 51 herding districts. Factors directly affecting the welfare of reindeer were perceived as crucial by herders, for example basal icing affecting the forage availability, and land-use related factors limiting the seasonal pasture access. Perceptions of herders on biophysical factors were rather homogeneous. The regional heterogeneities in perceptions towards land-use related factors could be explained by spatial differences in land-use and varying herding traditions. Cumulative land-use impacts raised particular concerns. Our approach can be utilized in the co-planning of the northern land-use and more widely in the co-management of natural resources."
24,"During the last 25 yr, Sami reindeer husbandry in parts of Finnmarksvidda in the Norwegian Arctic has been in a critical state because of overexploitation of lichen-dominated tundra, which serves as winter forage. To better understand the ecosystem's capabilities for recovery we investigated vegetation cover changes over a 7-yr period, starting in 1998, at 52 sites dispersed over a large area at Finnmarksvidda. Two types of plots were established: one fenced from reindeer grazing and trampling and one open for reindeer. The investigations in 2005 showed that lichen cover had had a significant and rapid increase (up to 8.6-fold per year). The cover of vascular plants, mainly dwarf shrubs, also increased significantly, while barren areas and the cover of litter decreased significantly during the period. Mean relative growth rate of lichen biomass was 0.083 +/- 0.011 per year in open plots, which is considered very rapid recovery compared to previous studies. Lichen recovery was significantly faster on leeward ridges than on exposed ridges, and fencing alone did not have any significant effects on lichen recovery, but in interaction with time, fencing contributed to increasing recovery rates. The lichen heath recovery was reciprocally correlated with reindeer density. In addition, lichen recovery was probably facilitated by recent climate changes, viz, shallower snow depths which made leeward tundra and forest floor vegetation accessible for reindeer, and increased summer precipitation rates which improved growth rates. The results from this study show that in a very short time there was a transition from an overexploited depauperate vegetation and barren ground state to a flourishing lichen-dominated vegetation state, suggesting that the injuries were repairable. The vegetation transitions which have taken place in the study area are considered to be reversible with fewer persistent effects. (C) 2011 Elsevier Ltd and The British Mycological Society. All rights reserved."
25,"Biotic interactions are important to the structure and dynamics of food webs and may affect the spatial and temporal distribution of species. In the Arctic, spring snow-cover limits food avail-ability at a critical time for herbivores, potentially leading to resource competition. This study investigates the potential for competition over forage resources during spring in a high-Arctic herbivore community comprising the resident, endemic Svalbard reindeer (Rangifer tarandus platyrhynchus) and Svalbard rock ptarmigan (Lagopus muta hyperborea), and the migratory pink-footed goose (Anser brachyrhynchus) and barnacle goose (Branta leucopsis). First, we investi-gated herbivore behaviour that could indicate the potential for competition by conducting a field study, and second, we quantified the effects of snow-cover extent, vegetation type and presence of potential herbivore competitors on the spatiotemporal distributions of herbivores using camera-traps in one early and one late snow melt year. Only reindeer and geese appeared with sufficient sample sizes for analysis. The field study revealed that reindeer and geese foraged in the same areas, particularly moss tundra habitats. Although geese were regularly alerted by reindeer, no direct aggressive interactions were observed. The camera-trap study showed that neither of the herbivores significantly affected the spatiotemporal distribution of its potential competitor, but reindeer and goose distribution was instead driven by snow-cover extent and vegetation type. However, the shared space use by these species may lead to different types of interactions, such as facilitation or exploitative competition, which require further assessment, including dietary overlap studies, particularly in the context of climate change-induced shifts in snow melt timing and herbivore abundances."
26,"The depth of the snow cover, snow density and hardness, as well as the influence of these parameters on the availability of forage for reindeer and musk ox in the territory of Wrangel Island were assessed. The snow hardness of snow was measured by a penetrometer late in winter (April-May). In 2007, 148 measurements were made on 35 plots; in 2008, 28 ones on 9 plots. At the present time, due to warming of the climate and frequent winter thaws, the snow cover is well stratified. The snow layers clearly differ in hardness, which varies from 5 up to 374 kg/cm(2). The hard layers and elevated snow depth prevent the animals against getting the food from under snow. The threshold level of the snow hardness limiting the availability of forage for reindeer is 189 kg/cm(2), for musk ox - 96 kg/cm(2). The threshold levels of snow thickness for a reindeer and musk ox are 30 and 23 cm, respectively. Almost over the whole territory of Wrangel Island, the snow hardness and depth exceed or equal the threshold levels. Therefore, getting the food for reindeers and musk oxen becomes impossible or demands high expenditure of energy. The consequences described are reflected in the reindeer population, which has been reduced from 8-10 thousand to 450-500 individuals. The number of musk oxen is not great, therefore, these animals find suitable areas for grazing, and their population is stable."
